ID,WoWFocus,What is your biological sex,Please indicate your current age by selecting the appropriate age range.,Please indicate your ethnicity:,How many years have you been playing video games? ,"How many separate game sessions do you play each day? (e.g., playing several rounds of a game bef...",How long does your typical gaming session last?,What percentage of your video game time do you estimate is spent playing multiplayer online games?,How many years have you played World of Warcraft? (please include time playing any expansions or...,"Please indicate whether you have played World of Warcraft consistently, or whether you tend to ta...",Please indicate your preferred World of Warcraft play-style,Please indicate the number of different characters you have created and played as in World of War...,The following section will ask you to respond to a few questions about the choices that you make...,Faction,Race,RaceShort,Class,ClassShort,Role,,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,,Advancement,Mechanics,Competition,Socializing,Relationship,Teamwork,Discovery,Roleplaying,Customization,Escapism,,,,,,,
1,0,1,3,1,6,2,6,6,1,4,1,1,1,1,5,3,7,3,3,,12,15,27,30,19,,35,8,14,32,13,34,21,19,32,30,,,,,,,
2,0,2,2,7,6,2,7,4,3,1,2,2,,2,12,2,5,1,2,,15,25,16,31,31,,35,34,17,14,17,37,19,12,32,40,,,,,,,
3,0,1,1,1,2,2,5,4,4,2,2,3,,1,10,4,3,1,1,,8,15,14,21,9,,34,13,16,36,12,35,26,33,23,43,,,,,,,
4,0,1,2,2,6,3,4,5,5,3,2,3,,1,3,1,4,1,1,,25,22,20,20,12,,38,18,14,29,12,34,33,7,25,44,,,,,,,
5,0,2,2,3,5,3,4,6,2,2,3,3,,2,5,3,6,2,1,,20,25,16,21,8,,44,20,16,38,14,34,42,29,24,38,,,,,,,
6,0,2,2,5,5,2,6,4,3,1,1,2,,2,6,4,1,4,2,,29,25,23,32,20,,32,31,15,42,11,31,8,31,35,37,,,,,,,
7,0,2,2,5,4,4,7,4,4,1,2,2,,1,8,2,2,2,4,,34,10,16,14,6,,39,2,15,34,18,32,34,27,34,36,,,,,,,
8,0,1,3,1,4,4,6,5,3,1,1,1,,1,9,1,3,3,2,,38,34,27,13,25,,35,30,24,18,20,29,52,16,34,38,,,,,,,
9,0,1,2,5,6,2,5,6,4,2,2,2,,1,11,2,4,4,4,,20,23,13,13,19,,40,21,15,40,18,33,27,41,37,42,,,,,,,
10,0,1,2,1,5,4,4,5,5,2,1,3,,2,12,1,8,2,2,,21,20,21,30,26,,42,30,14,49,10,39,54,14,21,38,,,,,,,
11,0,2,2,1,4,3,5,6,4,3,1,3,,1,9,2,5,3,3,,39,28,17,16,7,,41,27,18,36,13,36,24,34,30,35,,,,,,,
12,0,1,2,1,4,2,6,5,3,2,1,2,,2,4,1,7,1,1,,6,17,6,9,6,,44,18,11,34,20,32,18,23,27,43,,,,,,,
13,0,1,1,5,5,4,6,6,4,1,1,2,,1,5,4,6,2,2,,21,20,14,29,7,,33,16,16,44,17,36,23,37,33,36,,,,,,,
14,0,2,1,1,5,4,5,5,4,1,2,1,,2,6,3,4,4,3,,23,32,11,25,6,,46,13,17,41,17,34,25,33,31,39,,,,,,,
15,0,2,1,1,6,4,5,4,4,2,2,1,,1,3,2,3,2,4,,25,24,18,23,24,,41,18,16,21,19,34,26,8,32,46,,,,,,,
16,0,2,1,5,6,3,4,5,4,3,3,2,,2,2,3,1,3,3,,34,18,15,14,21,,43,29,18,34,12,37,13,18,28,46,,,,,,,
17,0,2,1,5,6,2,5,6,5,2,2,2,,1,1,1,2,4,4,,30,28,18,13,25,,46,16,18,15,16,31,29,14,28,36,,,,,,,
18,0,2,1,5,5,2,6,4,5,2,1,1,,1,8,3,5,3,3,,26,15,25,15,24,,47,20,14,37,9,36,16,24,30,46,,,,,,,
19,0,1,1,1,5,2,7,5,3,2,2,1,,1,7,4,3,2,4,,39,3,9,17,13,,46,14,17,42,21,29,21,23,27,37,,,,,,,
20,0,1,2,7,5,2,6,6,3,1,3,3,,1,5,2,6,2,3,,20,17,16,14,29,,29,19,12,29,11,31,19,22,29,35,,,,,,,
21,0,1,2,7,4,3,7,5,4,2,2,3,,2,6,1,4,1,2,,26,15,15,7,24,,39,27,14,26,4,36,28,30,28,45,,,,,,,
22,0,2,2,3,4,3,7,4,3,1,2,2,,2,9,3,7,1,4,,16,9,11,14,6,,36,14,11,38,17,34,10,29,31,40,,,,,,,
23,0,1,2,3,4,3,5,5,4,1,1,1,,1,3,4,8,2,3,,19,20,16,6,26,,47,10,21,37,9,27,17,27,31,34,,,,,,,
24,0,2,2,1,5,2,5,6,5,2,1,1,,1,2,1,5,3,2,,23,30,15,37,5,,38,24,13,28,16,36,32,16,31,37,,,,,,,
25,1,1,1,2,5,2,6,5,4,2,2,2,,2,1,2,2,3,1,,11,21,21,25,18,,39,17,17,32,12,33,22,21,35,40,,,,,,,
26,1,2,2,3,5,2,7,4,5,3,2,3,,2,11,3,4,4,2,,29,9,17,15,7,,37,16,14,25,16,30,40,24,26,49,,,,,,,
27,1,1,1,1,6,2,7,5,4,3,1,3,,2,10,4,5,3,3,,25,26,16,23,7,,41,15,18,29,1,33,5,31,30,47,,,,,,,
28,1,1,2,1,6,3,6,5,3,3,1,2,,2,1,3,3,2,2,,20,17,6,27,10,,44,22,12,43,12,35,46,14,33,38,,,,,,,
29,1,1,1,5,6,2,5,6,4,3,1,1,,1,6,2,6,1,4,,27,2,20,12,9,,32,23,16,31,21,31,23,20,27,38,,,,,,,
30,1,1,1,5,6,3,4,6,5,4,2,2,,2,4,3,8,3,2,,31,12,16,19,30,,37,22,14,31,14,29,15,24,28,43,,,,,,,
31,1,1,1,1,6,2,5,6,4,3,2,2,,1,8,2,7,4,2,,24,33,16,24,1,,49,19,10,42,10,28,28,29,25,38,,,,,,,
32,1,1,1,1,5,4,5,6,3,2,3,3,,2,12,3,8,1,3,,24,15,19,15,3,,40,27,11,37,12,34,21,32,29,37,,,,,,,
33,1,1,2,1,5,4,4,5,4,1,3,3,,2,8,2,7,2,3,,12,30,24,21,6,,48,19,15,38,16,34,33,2,31,34,,,,,,,
34,1,2,2,1,5,2,4,5,5,2,2,2,,2,6,3,2,3,3,,21,19,13,38,8,,38,11,8,37,9,30,6,14,25,40,,,,,,,
35,1,1,2,2,5,2,5,5,3,2,1,1,,2,11,1,6,4,1,,25,11,22,24,20,,35,22,16,42,13,32,24,33,21,49,,,,,,,
36,1,2,2,1,4,3,6,4,2,3,1,1,,2,9,2,4,3,2,,16,28,20,33,27,,34,19,20,34,11,41,39,19,27,36,,,,,,,
37,1,2,2,1,4,4,5,4,3,3,1,1,,1,7,1,3,2,4,,21,9,20,29,19,,39,30,10,28,18,30,20,27,28,47,,,,,,,
38,1,2,3,2,5,3,6,4,2,2,2,1,,1,10,2,1,1,2,,31,22,17,25,11,,35,4,13,38,15,27,35,34,27,38,,,,,,,
39,1,1,3,3,5,2,7,6,3,1,2,2,,1,10,1,7,3,1,,23,24,21,12,14,,42,21,14,32,17,40,23,23,29,34,,,,,,,
40,1,1,2,2,6,3,6,6,2,2,1,3,,1,10,3,5,4,2,,27,19,20,37,21,,39,17,12,16,23,34,19,29,28,34,,,,,,,
41,1,1,2,2,6,4,6,6,3,3,1,3,,2,1,1,6,3,4,,16,2,12,12,19,,39,20,15,40,14,34,41,8,28,35,,,,,,,
42,1,1,2,3,6,4,7,5,4,3,2,3,,2,3,3,3,2,4,,31,7,25,39,25,,36,15,19,32,12,29,26,23,29,37,,,,,,,
43,1,2,2,5,5,3,7,4,5,3,2,2,,2,7,4,4,1,2,,32,18,20,8,3,,48,16,15,36,11,31,22,23,26,44,,,,,,,
44,1,1,2,5,5,2,7,4,4,2,2,1,,2,8,1,5,4,3,,25,18,17,30,13,,35,36,12,24,9,34,33,30,27,37,,,,,,,
45,1,2,1,5,6,3,7,4,3,2,2,2,,2,5,3,8,2,3,,11,5,14,31,25,,43,31,16,33,19,31,29,24,30,41,,,,,,,
46,1,2,1,5,5,4,6,5,2,3,2,2,,1,9,4,2,4,1,,28,22,24,19,9,,46,24,19,37,21,37,21,27,28,41,,,,,,,
47,1,2,1,6,6,4,6,6,3,4,1,3,,1,6,3,6,2,2,,16,9,19,14,21,,41,28,12,21,14,33,11,17,24,34,,,,,,,
48,1,1,1,6,5,3,7,5,4,4,1,2,,2,4,4,3,3,2,,32,28,15,25,10,,38,18,20,23,16,32,19,28,28,42,,,,,,,
