ID,WoWFocus,What is your biological sex,Please indicate your current age by selecting the appropriate age range.,Please indicate your ethnicity:,How many years have you been playing video games? ,"How many separate game sessions do you play each day? (e.g., playing several rounds of a game bef...",How long does your typical gaming session last?,What percentage of your video game time do you estimate is spent playing multiplayer online games?,How many years have you played World of Warcraft? (please include time playing any expansions or...,"Please indicate whether you have played World of Warcraft consistently, or whether you tend to ta...",Please indicate your preferred World of Warcraft play-style,Please indicate the number of different characters you have created and played as in World of War...,The following section will ask you to respond to a few questions about the choices that you make...,Faction,Race,RaceShort,Class,ClassShort,Role,,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,,Advancement,Mechanics,Competition,Socializing,Relationship,Teamwork,Discovery,Roleplaying,Customization,Escapism
1,0,1,3,1,6,2,6,6,1,4,1,1,1,1,5,3,7,3,3,,1.20,1.50,2.70,3.00,1.90,,3.50,0.80,1.40,3.20,1.30,3.40,2.10,1.90,3.20,3.00
2,0,2,2,7,6,2,7,4,3,1,2,2,,2,12,2,5,1,2,,1.50,2.50,1.60,3.10,3.10,,3.50,3.40,1.70,1.40,1.70,3.70,1.90,1.20,3.20,4.00
3,0,1,1,1,2,2,5,4,4,2,2,3,,1,10,4,3,1,1,,0.80,1.50,1.40,2.10,0.90,,3.40,1.30,1.60,3.60,1.20,3.50,2.60,3.30,2.30,4.30
4,0,1,2,2,6,3,4,5,5,3,2,3,,1,3,1,4,1,1,,2.50,2.20,2.00,2.00,1.20,,3.80,1.80,1.40,2.90,1.20,3.40,3.30,0.70,2.50,4.40
5,0,2,2,3,5,3,4,6,2,2,3,3,,2,5,3,6,2,1,,2.00,2.50,1.60,2.10,0.80,,4.40,2.00,1.60,3.80,1.40,3.40,4.20,2.90,2.40,3.80
6,0,2,2,5,5,2,6,4,3,1,1,2,,2,6,4,1,4,2,,2.90,2.50,2.30,3.20,2.00,,3.20,3.10,1.50,4.20,1.10,3.10,0.80,3.10,3.50,3.70
7,0,2,2,5,4,4,7,4,4,1,2,2,,1,8,2,2,2,4,,3.40,1.00,1.60,1.40,0.60,,3.90,0.20,1.50,3.40,1.80,3.20,3.40,2.70,3.40,3.60
8,0,1,3,1,4,4,6,5,3,1,1,1,,1,9,1,3,3,2,,3.80,3.40,2.70,1.30,2.50,,3.50,3.00,2.40,1.80,2.00,2.90,5.20,1.60,3.40,3.80
9,0,1,2,5,6,2,5,6,4,2,2,2,,1,11,2,4,4,4,,2.00,2.30,1.30,1.30,1.90,,4.00,2.10,1.50,4.00,1.80,3.30,2.70,4.10,3.70,4.20
10,0,1,2,1,5,4,4,5,5,2,1,3,,2,12,1,8,2,2,,2.10,2.00,2.10,3.00,2.60,,4.20,3.00,1.40,4.90,1.00,3.90,5.40,1.40,2.10,3.80
